ano,id_municipio,id_municipio_nome,atu_ef,atu_em,had_ef,had_em,tdi_ef,tdi_em,taxa_aprovacao_ef,taxa_aprovacao_em,taxa_reprovacao_ef,taxa_reprovacao_em,taxa_abandono_ef,taxa_abandono_em
2011,2611606,Recife,27.5,37.4,4.5,5.2,32.5,52.3,80.0,68.9,14.7,15.8,5.3,15.3
2011,2611606,Recife,23.8,36.8,4.5,5.2,23.5,41.8,85.4,74.7,11.0,13.4,3.6,11.9
2011,2611606,Recife,33.3,37.6,4.4,5.2,42.4,53.1,73.1,69.2,18.3,14.7,8.6,16.1
2011,2611606,Recife,27.6,37.4,4.5,5.2,32.5,52.3,80.0,68.9,14.7,15.8,5.3,15.3
2011,2611606,Recife,23.8,36.8,4.5,5.2,23.5,41.8,85.4,74.7,11.0,13.4,3.6,11.9
2011,2611606,Recife,18.9,34.8,4.4,5.4,6.5,8.8,95.6,92.8,3.9,6.2,0.5,1.0
2011,2611606,Recife,18.9,34.8,4.4,5.4,6.5,8.8,95.6,92.8,3.9,6.2,0.5,1.0
2011,2611606,Recife,9.0,,4.6,,33.3,,91.3,,4.3,,4.4,
2011,2611606,Recife,9.0,,4.6,,33.3,,91.3,,4.3,,4.4,
2011,2611606,Recife,9.0,,4.6,,33.3,,91.3,,4.3,,4.4,
2011,2611606,Recife,23.4,,4.6,,22.8,,86.7,,11.2,,2.1,
2011,2611606,Recife,23.4,,4.6,,22.8,,86.7,,11.2,,2.1,
2011,2611606,Recife,32.0,34.1,5.2,4.9,7.5,35.3,93.5,63.1,6.5,36.8,0.0,0.1
2011,2611606,Recife,32.0,34.1,5.2,4.9,7.5,35.3,93.5,63.1,6.5,36.8,0.0,0.1
2014,2611606,Recife,34.2,37.1,4.5,6.1,36.9,40.7,83.5,83.1,14.0,12.8,2.5,4.1
2014,2611606,Recife,34.2,37.1,4.5,6.1,36.9,40.7,83.5,83.1,14.0,12.8,2.5,4.1
2014,2611606,Recife,25.8,36.7,4.6,6.0,29.9,40.4,82.6,82.9,14.0,13.1,3.4,4.0
2014,2611606,Recife,18.5,33.2,4.4,5.5,7.8,8.5,96.2,94.5,3.4,4.6,0.4,0.9
